borough,latitude1,latitude,longitude,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,a2008,a2009,a2010,a2011,a2012,a2013,a2015,a2020,a2025,a2030,a2035,a2040,percentage obesity,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,o2008,o2009,o2010,o2011,o2012,o2013,o2015,o2020,o2025,o2030,o2035,o2040
Bronx,9.5,3.5,-10.5,1750,1800,1780,1800,1850,1900,1900,1950,1975,2000,2000,2025,2050,2100,2150,2200,2225,2250,2275,2300,2325,2350,2400,2450,2500,2550,2575,2600,2625,2650,2650,2675,2700,1389000,1397000,1388000,1396000,1408000,1419000,1415725,1446788,1485275,1518998,1550492,1579245,0.2912,2800,2850,2800,2850,2900,2950,2925,2900,2925,2950,2950,2975,3000,3010,3020,3030,3040,3050,3060,3070,3080,3090,3100,3125,3150,3175,3200,3225,3250,3300,3325,3350,3400,404477,406806,404186,406515,410010,413213,412259,421305,432512,442332,451503,459876
Brooklyn,0,-6,-15,3750,3700,3650,3675,3700,3700,3675,3650,3675,3700,3700,3725,3750,3775,3800,3800,3825,3850,3875,3900,3925,3950,3950,3975,4000,4000,4025,4050,4075,4100,4100,4125,4150,2550000,2567000,2510000,2541000,2568000,2592000,2602844,2648452,2706246,2754009,2799347,2840525,0.2602,4100,4150,4050,4100,4200,4250,4275,4300,4310,4320,4330,4340,4350,4360,4370,4380,4390,4400,4425,4450,4475,4490,4500,4525,4550,4550,4575,4600,4650,4675,4700,4750,4800,663510,667933,653102,661168,668194,674438,677260,689127,704165,716593,728390,739105
Manhattan,5,-1,-15,2250,2250,2080,2100,2200,2200,2175,2150,2175,2200,2200,2225,2250,2275,2300,2325,2350,2400,2425,2450,2475,2500,2525,2550,2600,2650,2700,2750,2800,2850,2900,2925,2950,1632000,1629000,1588000,1607000,1621000,1626000,1610697,1638282,1661574,1676720,1686292,1691617,0.1743,2000,1900,1500,1700,1900,1950,1950,1900,1920,1940,1960,1980,2020,2050,2100,2150,2200,2300,2325,2350,2375,2390,2400,2425,2450,2475,2490,2500,2525,2550,2575,2590,2600,284458,283935,276788,280100,282540,283412,280744,285553,289612,292252,293921,294849
Queens,3,-3,-8,3250,3200,3090,3100,3200,3200,3175,3150,3175,3200,3200,3225,3250,3275,3300,3300,3325,3350,3375,3400,3425,3450,3450,3475,3500,3500,3525,3550,3575,3600,3600,3625,3650,2289000,2307000,2235000,2258000,2276000,2296000,2289489,2330295,2353431,2373551,2394353,2412649,0.2198,3500,3600,3000,3200,3400,3500,3500,3575,3600,3625,3635,3645,3650,3660,3670,3680,3690,3700,3750,3800,3850,3875,3900,3950,4000,4050,4075,4100,4150,4200,4250,4275,4300,503122,507079,491253,496308,500265,504661,503230,512199,517284,521707,526279,530300
Staten Island,-3,-9,-25,1350,1400,1275,1300,1300,1300,1310,1325,1330,1335,1340,1345,1350,1360,1370,1380,1390,1400,1410,1415,1415,1420,1425,1430,1435,1440,1445,1450,1450,1450,1450,1450,1450,487365,491730,469691,471026,470811,472621,478359,487155,493440,497749,500519,501109,0.2733,1650,1750,1450,1550,1600,1625,1625,1660,1670,1680,1690,1695,1700,1710,1720,1730,1740,1760,1770,1780,1790,1795,1800,1810,1820,1830,1840,1850,1850,1850,1850,1850,1860,133197,134390,128367,128731,128673,129167,130736,133139,134857,136035,136792,136953
